Cluster,Name,Code
0,파이버프로,368770
6,현대공업,170030
2,에스엠코어,007820
2,파수,150900
0,세코닉스,053450
1,원티드랩,376980
6,옵티팜,153710
5,기가레인,049080
1,에스트래픽,234300
5,세아메카닉스,396300
1,네온테크,306620
3,트루윈,105550
2,코텍,052330
2,캠시스,050110
1,소마젠,950200
2,젬백스링크,064800
0,에이테크솔루션,071670
6,비아트론,141000
3,디에이테크놀로지,196490
0,리메드,302550
2,SV인베스트먼트,289080
3,케일럼,258610
3,에스피시스템스,317830
4,우수AMS,066590
2,미투온,201490
0,오상자이엘,053980
3,상보,027580
0,유니테크노,241690
0,에이텍,045660
6,웰크론,065950
5,위드텍,348350
2,티비씨,033830
3,앤디포스,238090
0,오스테오닉,226400
2,국순당,043650
3,지에스이,053050
1,금강철강,053260
5,폴라리스세원,234100
6,비트컴퓨터,032850
1,케이피에프,024880
0,아진엑스텍,059120
3,유신,054930
2,참좋은여행,094850
6,아톤,158430
2,바이젠셀,308080
6,에스텍,069510
