Ticker,Code,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역,Theme,Name
덕산하이메탈,077360,덕산하이메탈,077360,반도체 제조업,솔더볼(Solderball),2005-10-14,12월,"김윤철, 최창열(각자대표이사)",http://www.dshm.co.kr,울산광역시,우주항공산업(누리호/인공위성 등),덕산하이메탈
아바코,083930,아바코,083930,특수 목적용 기계 제조업,평판디스플레이제조용장비,2005-10-11,12월,김광현,http://www.avaco.co.kr,대구광역시,LCD장비,아바코
엘오티베큠,083310,엘오티베큠,083310,특수 목적용 기계 제조업,반도체제조용진공펌프,2005-10-05,12월,오흥식,http://www.lotvacuum.com,경기도,LCD장비,엘오티베큠
대상홀딩스,084690,대상홀딩스,084690,기타 금융업,지주회사,2005-08-17,12월,"임창욱, 최성수 각자대표이사",,서울특별시,지주사,대상홀딩스
금호타이어,073240,금호타이어,073240,고무제품 제조업,"타이어,튜브 제조,도매,무역",2005-02-17,12월,정일택,http://www.kumhotire.co.kr,광주광역시,타이어,금호타이어
손오공,066910,손오공,066910,기타 전문 도매업,"완구, 게임, 캐릭터수입수수료",2005-01-07,12월,"임범진, 최원식",http://www.sonokong.co.kr,경기도,엔젤산업,손오공
미래컴퍼니,049950,미래컴퍼니,049950,특수 목적용 기계 제조업,EdgeGrinder,2005-01-04,12월,김준구,http://www.meerecompany.com,경기도,지능형로봇/인공지능(AI),미래컴퍼니
케이아이엔엑스,093320,케이아이엔엑스,093320,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷연동서비스 등,2011-02-08,12월,김지욱,http://www.kinx.net,서울특별시,클라우드 컴퓨팅,케이아이엔엑스
아이크래프트,052460,아이크래프트,052460,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","인터넷핵심망(CCR,MCR,NAS등)",2005-01-03,12월,"박우진, 서익수(각자 대표이사)",http://www.icraft21.com,서울특별시,5G(5세대 이동통신),아이크래프트
케이에스피,073010,케이에스피,073010,일반 목적용 기계 제조업,"선박용엔진밸브,형단조품",2004-12-17,12월,이범호,http://www.kspvalve.com,부산광역시,조선기자재,케이에스피
대주전자재료,078600,대주전자재료,078600,전자부품 제조업,"전도성페이스트,태양전지 페이스트,고분자재료,PIG,이차전지용음극재료",2004-12-10,12월,"임일지,임중규(각자대표)",http://www.daejoo.co.kr,경기도,2차전지,대주전자재료
토비스,051360,토비스,051360,영상 및 음향기기 제조업,Gaming모니터,2004-11-19,12월,"김 용 범, 하 희 조",http://www.tovism.com,인천광역시,터치패널(스마트폰/태블릿PC등),토비스
인팩,023810,인팩,023810,자동차 신품 부품 제조업,"자동차용 케이블,전자정보통신관련기기 제조,도매",2004-09-21,12월,"최웅선,최장돈",http://www.infac.com,서울특별시,전기차,인팩
유니퀘스트,077500,유니퀘스트,077500,기계장비 및 관련 물품 도매업,"반도체직접회로 도매,무역,제조",2004-08-05,12월,앤드류김,http://www.uniquest.co.kr,경기도,자율주행차,유니퀘스트
아프리카TV,067160,아프리카TV,067160,소프트웨어 개발 및 공급업,1인미디어플랫폼,2003-12-19,12월,Jung Chan Yong,http://corp.afreecatv.com,경기도,가상현실(VR),아프리카TV
휴비츠,065510,휴비츠,065510,의료용 기기 제조업,"자동검안기, 자동렌즈미터",2003-10-31,12월,김현수,http://www.huvitz.com,경기도,고령화 사회(노인복지),휴비츠
YG PLUS,037270,YG PLUS,037270,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","광고대행,광고물 제작",2003-08-01,12월,최성준,http://www.ygplus.com,서울특별시,광고,YG PLUS
이라이콤,041520,이라이콤,041520,상품 중개업,TFT-LCD용 Back Light Unit,2003-07-04,12월,김성익,http://www.e-litecom.com,경기도,휴대폰부품,이라이콤
티에스이,131290,티에스이,131290,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","Probe Card, Test Interface Board, LED Test Equipment",2011-01-05,12월,"김철호, 오창수",http://www.tse21.com,충청남도,OLED(유기 발광 다이오드),티에스이
유엔젤,072130,유엔젤,072130,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","소프트웨어(무선인터넷 솔루션,ASP통신사업자용 지능망솔루션 및 단문메세지센터) 개발,공급",2003-07-01,12월,유지원,http://www.uangel.com,경기도,클라우드 컴퓨팅,유엔젤
한농화성,011500,한농화성,011500,기타 화학제품 제조업,"계면활성제,글리콜에테르 제조,판매",2003-01-09,12월,"김응상, 경상호 (각자대표)",http://hannong.koreasme.com,전라북도,2차전지,한농화성
웨스트라이즈,064090,웨스트라이즈,064090,상품 종합 도매업,"Jayjun, Nerdy 외",2002-12-17,12월,정집훈,http://www.fnrepublic.com,서울특별시,화장품,웨스트라이즈
포스코스틸리온,058430,포스코스틸리온,058430,1차 철강 제조업,"용융아연도금강판,용융알루미늄도금강판,칼라도장강판,냉연강판 가공,제조,도매",2002-08-16,12월,윤양수,http://www.poscocnc.com,경상북도,전기차,포스코스틸리온
아비코전자,036010,아비코전자,036010,전자부품 제조업,"인덕터, 저항기",2002-07-03,12월,김창수,http://www.abco.co.kr,경기도,스마트폰,아비코전자
지어소프트,051160,지어소프트,051160,소프트웨어 개발 및 공급업,"Mobile Solution & Platform, Internet GIS, Mobile Service",2002-05-28,12월,김영준,http://gaeasoft.co.kr,서울특별시,광고,지어소프트
오상자이엘,053980,오상자이엘,053980,소프트웨어 개발 및 공급업,CATIA Solution,2002-04-09,12월,"이국래,김선기(각자 대표이사)",http://www.osangjaiel.co.kr,인천광역시,화장품,오상자이엘
씨티씨바이오,060590,씨티씨바이오,060590,의약품 제조업,"동물용항병원성제품, 생균효소제",2002-02-21,12월,이민구 (단독대표이사),http://www.ctcbio.com,경기도,치매,씨티씨바이오
LS마린솔루션,060370,LS마린솔루션,060370,전기 및 통신 공사업,해저케이블등의 건설 및 유지보수 업무,2002-02-15,12월,이승용,http://www.ktsubmarine.co.kr,부산광역시,해저터널(지하화/지하도로 등),LS마린솔루션
구영테크,053270,구영테크,053270,자동차 신품 부품 제조업,엔진 브라켓(Engine Bracket) 등,2002-02-07,12월,이희화,http://www.guyoungtech.com,대구광역시,자동차부품,구영테크
