,Theme,Name,Code
473,방위산업/전쟁 및 테러,국영지앤엠,6050
474,방위산업/전쟁 및 테러,YTN,40300
475,방위산업/전쟁 및 테러,HD한국조선해양,9540
476,방위산업/전쟁 및 테러,포메탈,119500
477,방위산업/전쟁 및 테러,STX,11810
478,로봇(산업용/협동로봇 등),피제이전자,6140
479,로봇(산업용/협동로봇 등),두산로보틱스,454910
480,로봇(산업용/협동로봇 등),레인보우로보틱스,277810
481,로봇(산업용/협동로봇 등),에스비비테크,389500
483,로봇(산업용/협동로봇 등),이랜시스,264850
485,로봇(산업용/협동로봇 등),뉴로메카,348340
486,로봇(산업용/협동로봇 등),우림피티에스,101170
487,로봇(산업용/협동로봇 등),제우스,79370
491,로봇(산업용/협동로봇 등),알에스오토메이션,140670
495,로봇(산업용/협동로봇 등),삼익THK,4380
497,로봇(산업용/협동로봇 등),에스피시스템스,317830
498,로봇(산업용/협동로봇 등),대동,490
499,로봇(산업용/협동로봇 등),브이원텍,251630
500,로봇(산업용/협동로봇 등),신성델타테크,65350
501,로봇(산업용/협동로봇 등),티피씨글로벌,130740
502,로봇(산업용/협동로봇 등),싸이맥스,160980
503,로봇(산업용/협동로봇 등),케이피에프,24880
504,로봇(산업용/협동로봇 등),디아이씨,92200
505,로봇(산업용/협동로봇 등),코닉오토메이션,391710
506,로봇(산업용/협동로봇 등),TPC,48770
507,로봇(산업용/협동로봇 등),휴림네트웍스,192410
508,로봇(산업용/협동로봇 등),라온테크,232680
510,로봇(산업용/협동로봇 등),해성티피씨,59270
512,로봇(산업용/협동로봇 등),서암기계공업,100660
513,로봇(산업용/협동로봇 등),대동기어,8830
514,로봇(산업용/협동로봇 등),현대무벡스,319400
515,로봇(산업용/협동로봇 등),두산,150
521,드론(Drone),피씨디렉트,51380
524,드론(Drone),인지컨트롤스,23800
527,드론(Drone),티쓰리,204610
531,드론(Drone),한컴위드,54920
538,드론(Drone),매커스,93520
540,드론(Drone),디티앤씨,187220
542,드론(Drone),스마트레이더시스템,424960
543,전선,LS전선아시아,229640
544,전선,일진전기,103590
545,전선,대원전선,6340
546,전선,LS,6260
547,전선,KBI메탈,24840
548,전선,대한전선,1440
549,전선,가온전선,500
550,초전도체,씨씨에스,66790
551,초전도체,덕성,4830
553,초전도체,인지디스플레,37330
555,초전도체,파워로직스,47310
557,초전도체,원익피앤이,217820
558,초전도체,LS ELECTRIC,10120
559,초전도체,고려제강,2240
562,초전도체,탑엔지니어링,65130
573,자율주행차,디와이,13570
576,자율주행차,드림텍,192650
578,자율주행차,퓨런티어,370090
580,자율주행차,라닉스,317120
581,자율주행차,KG모빌리티,3620
584,자율주행차,유니트론텍,142210
585,자율주행차,캠시스,50110
586,자율주행차,한국단자,25540
589,자율주행차,SK하이닉스,660
590,자율주행차,넥스트칩,396270
591,자율주행차,라이콤,388790
592,자율주행차,에이테크솔루션,71670
593,자율주행차,삼보모터스,53700
595,자율주행차,삼성전기,9150
597,자율주행차,코리아에프티,123410
599,자율주행차,디에이테크놀로지,196490
604,자율주행차,DH오토웨어,25440
605,자율주행차,옵트론텍,82210
609,자율주행차,유니퀘스트,77500
610,자율주행차,현대오토에버,307950
611,자율주행차,트루윈,105550
612,자율주행차,켐트로닉스,89010
617,5G(5세대 이동통신),RFHIC,218410
618,5G(5세대 이동통신),케이엠더블유,32500
619,5G(5세대 이동통신),쏠리드,50890
620,5G(5세대 이동통신),오이솔루션,138080
621,5G(5세대 이동통신),우리로,46970
622,5G(5세대 이동통신),와이팜,332570
624,5G(5세대 이동통신),오파스넷,173130
625,5G(5세대 이동통신),이노와이어리스,73490
627,5G(5세대 이동통신),센서뷰,321370
628,5G(5세대 이동통신),코스텍시스,355150
629,5G(5세대 이동통신),대한광통신,10170
630,5G(5세대 이동통신),에치에프알,230240
631,5G(5세대 이동통신),피피아이,62970
633,5G(5세대 이동통신),쏘닉스,88280
634,5G(5세대 이동통신),자람테크놀로지,389020
635,5G(5세대 이동통신),기가레인,49080
636,5G(5세대 이동통신),옵티코어,380540
638,5G(5세대 이동통신),와이솔,122990
639,5G(5세대 이동통신),와이어블,65530
641,5G(5세대 이동통신),우리넷,115440
642,5G(5세대 이동통신),나무기술,242040
643,5G(5세대 이동통신),코위버,56360
647,5G(5세대 이동통신),아이크래프트,52460
648,5G(5세대 이동통신),엔텔스,69410
651,5G(5세대 이동통신),서진시스템,178320
652,5G(5세대 이동통신),이노인스트루먼트,215790
654,5G(5세대 이동통신),텔코웨어,78000
655,5G(5세대 이동통신),에프알텍,73540
656,5G(5세대 이동통신),유비쿼스,264450
660,5G(5세대 이동통신),삼지전자,37460
661,5G(5세대 이동통신),알에프텍,61040
662,5G(5세대 이동통신),라이트론,69540
663,5G(5세대 이동통신),PI첨단소재,178920
664,5G(5세대 이동통신),대덕전자,353200
665,5G(5세대 이동통신),텔레필드,91440
668,쿠팡(coupang),알로이스,297570
670,쿠팡(coupang),팬스타엔터프라이즈,54300
671,쿠팡(coupang),미래생명자원,218150
673,쿠팡(coupang),태경케미컬,6890
675,쿠팡(coupang),동방,4140
676,쿠팡(coupang),서울식품,4410
677,쿠팡(coupang),흥국에프엔비,189980
679,쿠팡(coupang),한국전자홀딩스,6200
681,쿠팡(coupang),KCTC,9070
682,쿠팡(coupang),오텍,67170
683,쿠팡(coupang),아이스크림에듀,289010
684,쿠팡(coupang),ESR켄달스퀘어리츠,365550
696,통신장비,RF머트리얼즈,327260
699,통신장비,CS,65770
701,통신장비,머큐리,100590
704,통신장비,파이오링크,170790
707,통신장비,스카이문스테크놀로지,33790
717,통신장비,다산네트웍스,39560
721,통신장비,빛샘전자,72950
725,통신장비,텔콘RF제약,200230
727,통신장비,알엔투테크놀로지,148250
738,영화,쎄니트,37760
739,영화,롯데쇼핑,23530
740,영화,CJ CGV,79160
741,영화,세기상사,2420
745,스마트팩토리(스마트공장),팸텍,271830
748,스마트팩토리(스마트공장),이삭엔지니어링,351330
751,스마트팩토리(스마트공장),엠아이큐브솔루션,373170
752,스마트팩토리(스마트공장),엠투아이,347890
757,스마트팩토리(스마트공장),동국알앤에스,75970
762,스마트팩토리(스마트공장),티라유텍,322180
766,스마트팩토리(스마트공장),코윈테크,282880
767,스마트팩토리(스마트공장),더존비즈온,12510
768,스마트팩토리(스마트공장),효성ITX,94280
769,스마트팩토리(스마트공장),톱텍,108230
770,스마트팩토리(스마트공장),바이옵트로,222160
772,스마트팩토리(스마트공장),한신기계,11700
773,스마트팩토리(스마트공장),LG,3550
774,스마트팩토리(스마트공장),에스엠코어,7820
775,스마트팩토리(스마트공장),비엠티,86670
777,스마트팩토리(스마트공장),포스코DX,22100
780,LCD장비,HB솔루션,297890
781,LCD장비,넥스트아이,137940
783,LCD장비,아바코,83930
784,LCD장비,신성이엔지,11930
787,LCD장비,예스티,122640
788,LCD장비,엘오티베큠,83310
789,LCD장비,케이엔제이,272110
790,LCD장비,윈텍,320000
792,LCD장비,로체시스템즈,71280
793,LCD장비,HB테크놀러지,78150
794,LCD장비,디에스케이,109740
796,LCD장비,DMS,68790
798,LCD장비,에스엔유,80000
800,LCD장비,비아트론,141000
801,LCD장비,인베니아,79950
802,LCD장비,AP시스템,265520
803,LCD장비,피엔티엠에스,257370
805,LCD장비,포인트엔지니어링,256630
806,LCD장비,원익IPS,240810
807,LCD장비,스마트솔루션즈,136510
808,LCD장비,피엔티,137400
809,LCD장비,상아프론테크,89980
810,LCD장비,참엔지니어링,9310
811,LCD장비,디이엔티,79810
812,LCD장비,이엘피,63760
813,LCD장비,동아엘텍,88130
814,LCD장비,아이씨디,40910
815,LCD장비,케이씨텍,281820
816,LCD장비,씨앤지하이테크,264660
817,LCD장비,주성엔지니어링,36930
818,LCD장비,디아이티,110990
819,LCD장비,제이스텍,90470
820,LCD장비,테크윙,89030
821,LCD장비,에스티아이,39440
823,카지노,코텍,52330
824,카지노,파라다이스,34230
825,카지노,GKL,114090
