,Code,Name
980,036930,주성엔지니어링
981,086900,메디톡스
982,214370,케어젠
983,121600,나노신소재
984,025900,동화기업
985,278280,천보
986,141080,레고켐바이오
987,067310,하나마이크론
988,078600,대주전자재료
989,096530,씨젠
990,064760,티씨케이
991,034230,파라다이스
992,365340,성일하이텍
993,222800,심텍
994,237690,에스티팜
995,348370,엔켐
996,195940,HK이노엔
997,048410,현대바이오
998,137400,피엔티
999,122870,와이지엔터테인먼트
1000,213420,덕산네오룩스
1001,214450,파마리서치
1002,140860,파크시스템스
1003,225570,넥슨게임즈
1004,065350,신성델타테크
1005,033290,코웰패션
1006,056190,에스에프에이
1007,383310,에코프로에이치엔
1008,298380,에이비엘바이오
1009,140410,메지온
1010,067630,HLB생명과학
1011,281740,레이크머티리얼즈
1012,166090,하나머티리얼즈
1013,101490,에스앤에스텍
1014,009520,포스코엠텍
1015,016790,카나리아바이오
1016,440110,파두
1017,036830,솔브레인홀딩스
1018,084370,유진테크
1019,336570,원텍
1020,420770,기가비스
1021,085660,차바이오텍
1022,067160,아프리카TV
1023,418550,제이오
1024,036540,SFA반도체
1025,372170,윤성에프앤씨
1026,058970,엠로
1027,131970,두산테스나
1028,003380,하림지주
1029,222080,씨아이에스
1030,064550,바이오니아
1031,287410,제이시스메디칼
1032,376300,디어유
1033,189300,인텔리안테크
1034,098460,고영
1035,039200,오스코텍
1036,091120,이엠텍
1037,053800,안랩
1038,204270,제이앤티씨
1039,215200,메가스터디교육
1040,087010,펩트론
1041,058610,에스피지
1042,074600,원익QnC
1043,290650,엘앤씨바이오
1044,348210,넥스틴
1045,078340,컴투스
1046,015750,성우하이텍
1047,178320,서진시스템
1048,060280,큐렉소
1049,042000,카페24
1050,310210,보로노이
1051,099190,아이센스
1052,086450,동국제약
1053,095660,네오위즈
1054,094360,칩스앤미디어
1055,272290,이녹스첨단소재
1056,950160,코오롱티슈진
1057,183300,코미코
1058,215600,신라젠
1059,041190,우리기술투자
1060,025980,아난티
1061,299900,위지윅스튜디오
1062,018290,브이티
1063,352480,씨앤씨인터내셔널
1064,046890,서울반도체
1065,194480,데브시스터즈
1066,319660,피에스케이
1067,136510,스마트솔루션즈
1068,119860,커넥트웨이브
1069,036810,에프에스티
1070,182400,엔케이맥스
1071,399720,가온칩스
1072,101730,위메이드맥스
1073,131290,티에스이
1074,299030,하나기술
1075,108860,셀바스AI
1076,199800,툴젠
1077,215000,골프존
1078,053610,프로텍
1079,082270,젬백스
1080,031980,피에스케이홀딩스
1081,094480,갤럭시아머니트리
1082,069080,웹젠
1083,360070,탑머티리얼
1084,144510,지씨셀
1085,445090,에이직랜드
1086,200130,콜마비앤에이치
1087,039440,에스티아이
1088,237880,클리오
1089,007390,네이처셀
1090,257720,실리콘투
1091,091700,파트론
1092,095500,미래나노텍
1093,068240,다원시스
1094,060250,NHN KCP
1095,084850,아이티엠반도체
1096,032190,다우데이타
1097,335890,비올
1098,338220,뷰노
1099,032500,케이엠더블유
1100,006730,서부T&D
1101,043150,바텍
1102,079370,제우스
1103,179900,유티아이
1104,243070,휴온스
1105,425040,티이엠씨
1106,052020,에스티큐브
1107,114190,강원에너지
1108,394280,오픈엣지테크놀로지
1109,448280,에코아이
1110,049070,인탑스
1111,054450,텔레칩스
1112,206640,바디텍메드
1113,093320,케이아이엔엑스
1114,056080,유진로봇
1115,119610,인터로조
1116,358570,지아이이노베이션
1117,432470,케이엔에스
1118,319400,현대무벡스
1119,323990,박셀바이오
1120,095700,제넥신
1121,228760,지노믹트리
1122,200670,휴메딕스
1123,064290,인텍플러스
1124,080220,제주반도체
1125,101160,월덱스
1126,023160,태광
1127,151860,KG ETS
1128,099430,바이오플러스
1129,025320,시노펙스
1130,095610,테스
1131,218410,RFHIC
1132,047920,HLB제약
1133,033640,네패스
1134,118990,모트렉스
1135,033500,동성화인텍
1136,241710,코스메카코리아
1137,035600,KG이니시스
1138,950130,엑세스바이오
1139,104830,원익머트리얼즈
1140,082920,비츠로셀
1141,378340,필에너지
1142,110990,디아이티
1143,402030,코난테크놀로지
1144,445680,큐리옥스바이오시스템즈
1145,079810,디이엔티
1146,029960,코엔텍
1147,317330,덕산테코피아
1148,206650,유바이오로직스
1149,013030,하이록코리아
1150,122640,예스티
1151,025770,한국정보통신
1152,089010,켐트로닉스
1153,034950,한국기업평가
1154,089970,에이피티씨
1155,425420,티에프이
1156,340570,티앤엘
1157,064260,다날
1158,089030,테크윙
1159,014620,성광벤드
1160,322510,제이엘케이
1161,200710,에이디테크놀로지
1162,060150,인선이엔티
1163,102710,이엔에프테크놀로지
1164,030520,한글과컴퓨터
1165,117730,티로보틱스
1166,038500,삼표시멘트
1167,042600,새로닉스
1168,267980,매일유업
1169,263720,디앤씨미디어
1170,094170,동운아나텍
1171,041830,인바디
1172,348340,뉴로메카
1173,050890,쏠리드
1174,039840,디오
1175,372320,큐로셀
1176,290690,소룩스
1177,060720,KH바텍
1178,217270,넵튠
1179,228670,레이
1180,298830,슈어소프트테크
1181,439090,마녀공장
1182,083310,엘오티베큠
1183,396270,넥스트칩
1184,061970,LB세미콘
1185,314930,바이오다인
1186,243840,신흥에스이씨
1187,265520,AP시스템
1188,063080,컴투스홀딩스
